City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa ana de yacuma,-13.75,-65.4333,80.55,83,75,11.5,BO,1733585552
1,edinburgh of the seven seas,-37.0676,-12.3116,60.37,89,84,18.7,SH,1733585553
2,imbituba,-28.24,-48.6703,66.99,94,100,10.87,BR,1733585554
3,peace river,56.2501,-117.286,30.65,98,100,11.5,CA,1733585555
4,port-aux-francais,-49.35,70.2167,41.5,77,87,16.58,TF,1733585556
5,badger,64.8,-147.5333,14.36,88,75,3.44,US,1733585557
6,papatowai,-46.5619,169.4708,54.16,95,100,7.18,NZ,1733585560
7,bethel,41.3712,-73.414,35.69,58,100,11.5,US,1733585531
8,anjozorobe,-18.4,47.8667,70.3,63,4,8.93,MG,1733585562
9,hermanus,-34.4187,19.2345,72.81,67,6,8.08,ZA,1733585563
10,waitangi,-43.9535,-176.5597,49.82,93,3,10.22,NZ,1733585564
11,mahibadhoo,3.7833,72.9667,82.83,66,2,3.11,MV,1733585565
12,iskateley,67.6803,53.1512,12.49,95,81,9.98,RU,1733585566
13,kidal,18.4411,1.4078,76.55,9,2,16.06,ML,1733585568
14,whitehorse,60.7161,-135.0538,12.97,85,0,5.75,CA,1733585569
15,thompson,55.7435,-97.8558,5.16,85,100,4.61,CA,1733585337
16,tiksi,71.6872,128.8694,-6.05,98,99,6.62,RU,1733585571
17,opuwo,-18.0607,13.84,96.48,10,93,11.86,NA,1733585572
18,keflavik,64.0049,-22.5624,28.83,69,75,3.44,IS,1733585573
19,jember,-8.166,113.7032,75.15,95,100,2.19,ID,1733585574
20,tolanaro,-25.0319,46.9987,86.07,54,0,13.8,MG,1733585575
21,fenoarivo be,-18.4333,46.5667,78.17,56,47,2.98,MG,1733585576
22,blackmans bay,-43.0167,147.3167,53.73,79,49,1.01,AU,1733585578
23,kununurra,-15.7667,128.7333,80.58,94,100,5.75,AU,1733585579
24,isafjordur,66.0755,-23.124,21.24,68,0,0.0,IS,1733585580
25,port alfred,-33.5906,26.891,74.17,78,31,8.99,ZA,1733585581
26,ushuaia,-54.8,-68.3,46.06,66,75,4.61,AR,1733585573
27,ribeira grande,38.5167,-28.7,68.77,88,20,9.22,PT,1733585583
28,terrasson-lavilledieu,45.1301,1.3014,45.1,80,100,13.69,FR,1733585584
29,yavuzeli,37.3177,37.5682,50.04,63,100,5.03,TR,1733585585
30,bridlington,54.0831,-0.1919,48.02,65,81,11.01,GB,1733585586
31,lobito,-12.3481,13.5456,80.58,80,51,5.61,AO,1733585588
32,bodo,67.28,14.405,42.84,61,75,11.5,NO,1733585327
33,leczna,51.3012,22.8814,35.91,93,100,6.91,PL,1733585590
34,avarua,-21.2078,-159.775,77.05,100,75,13.8,CK,1733585591
35,new norfolk,-42.7826,147.0587,52.72,77,75,11.77,AU,1733585592
36,blythe,33.6103,-114.5964,45.05,31,0,3.44,US,1733585593
37,stanley,54.868,-1.6985,41.05,94,75,32.21,GB,1733585594
38,muromtsevo,56.3724,75.2418,-0.83,99,83,4.81,RU,1733585596
39,nova sintra,14.8667,-24.7167,78.49,69,77,15.68,CV,1733585597
40,krasnovishersk,60.4078,57.082,13.21,97,100,3.24,RU,1733585599
41,suntar,62.1444,117.6319,1.04,90,36,8.52,RU,1733585600
42,gadzhiyevo,69.2551,33.3362,27.54,86,77,21.32,RU,1733585601
43,port elizabeth,-33.918,25.5701,74.32,77,20,14.97,ZA,1733585602
44,margaret river,-33.95,115.0667,56.21,77,0,12.97,AU,1733585603
45,choyr,46.3611,108.3611,7.72,92,6,1.3,MN,1733585605
46,bredasdorp,-34.5322,20.0403,71.01,53,43,10.04,ZA,1733585607
47,navarre,30.4016,-86.8636,48.22,40,0,10.36,US,1733585534
48,san patricio,28.017,-97.5169,49.95,71,100,14.97,US,1733585609
49,chibougamau,49.9168,-74.3659,4.62,85,100,11.5,CA,1733585610
50,yellowknife,62.456,-114.3525,14.56,97,100,8.05,CA,1733585611
51,olonkinbyen,70.9221,-8.7187,22.41,76,99,29.08,SJ,1733585613
52,albany,42.6001,-73.9662,31.41,68,65,1.01,US,1733585578
53,callao,-12.0667,-77.15,68.29,77,40,8.05,PE,1733585615
54,adamstown,-25.066,-130.1015,72.64,79,55,19.48,PN,1733585616
55,kruisfontein,-34.0033,24.7314,70.03,63,9,10.92,ZA,1733585617
56,saipan,15.1355,145.701,83.1,75,40,14.97,MP,1733585523
57,canovanas,18.3777,-65.9063,87.24,71,40,11.5,PR,1733585619
58,kargasok,59.0556,80.8572,6.04,95,93,6.96,RU,1733585620
59,dawson creek,55.7666,-120.2362,40.64,65,20,4.61,CA,1733585621
60,crane,31.3974,-102.3501,45.63,80,100,7.94,US,1733585623
61,bamboo flat,11.7,92.7167,82.49,69,75,8.05,IN,1733585624
62,ouesso,1.6136,16.0517,87.55,48,86,2.48,CG,1733585625
63,atafu village,-8.5421,-172.5159,81.86,79,38,12.8,TK,1733585626
64,sitka,57.0531,-135.33,42.69,81,100,3.44,US,1733585627
65,taroa,8.7058,171.2275,82.31,80,84,22.57,MH,1733585628
66,neftcala,39.3742,49.2472,54.61,71,96,9.22,AZ,1733585629
67,iqaluit,63.7506,-68.5145,11.93,72,100,11.5,CA,1733585412
68,west island,-12.1568,96.8225,80.58,74,75,14.97,CC,1733585631
69,cabo san lucas,22.8909,-109.9124,70.11,49,75,4.61,MX,1733585633
70,qaqortoq,60.7167,-46.0333,30.56,92,100,13.85,GL,1733585634
71,kandiari,26.9156,68.5216,68.83,17,0,4.59,PK,1733585635
72,natal,-5.795,-35.2094,86.65,62,75,16.11,BR,1733585448
73,fale old settlement,-9.3852,-171.2468,82.98,78,67,15.88,TK,1733585637
74,lisala,2.15,21.5167,81.75,56,79,1.52,CD,1733585638
75,nsanje,-16.92,35.262,94.68,35,100,8.9,MW,1733585639
76,axim,4.8699,-2.2405,83.61,66,85,8.16,GH,1733585640
77,olinda,-8.0089,-34.8553,83.93,70,75,12.66,BR,1733585642
78,machico,32.7,-16.7667,72.72,82,40,12.66,PT,1733585643
79,morondava,-20.2833,44.2833,82.92,74,98,14.38,MG,1733585644
80,port lincoln,-34.7333,135.8667,58.01,76,0,8.88,AU,1733585645
81,carutapera,-1.195,-46.02,81.75,72,100,6.55,BR,1733585646
82,georgetown,5.4112,100.3354,85.95,78,20,3.44,MY,1733585410
83,invercargill,-46.4,168.35,56.01,87,100,4.81,NZ,1733585648
84,klyuchi,52.2667,79.1667,17.19,96,100,6.08,RU,1733585649
85,lebu,-37.6167,-73.65,59.27,59,1,17.78,CL,1733585464
86,luderitz,-26.6481,15.1594,74.93,58,20,27.74,NA,1733585652
87,nizhnesortymskiy,62.4397,71.7603,-6.81,100,52,6.49,RU,1733585653
88,udachny,66.4167,112.4,-3.64,94,98,11.07,RU,1733585654
89,la passe,45.5549,-0.8967,49.62,65,98,33.11,FR,1733585655
90,novodvinsk,64.4165,40.8122,22.75,93,92,6.33,RU,1733585656
91,nadi,-17.8,177.4167,75.2,88,20,2.3,FJ,1733585657
92,olavarria,-36.8927,-60.3225,64.92,29,4,13.82,AR,1733585497
93,mochudi,-24.4167,26.15,106.39,12,87,8.1,BW,1733585659
94,pisco,-13.7,-76.2167,68.05,83,22,8.05,PE,1733585640
95,greenville,35.6127,-77.3663,39.22,41,0,5.01,US,1733585663
96,gorodets,56.6514,43.475,21.58,93,100,12.21,RU,1733585665
97,xichang,27.8964,102.2634,44.83,92,97,2.68,CN,1733585666
98,afaahiti,-17.75,-149.2833,78.01,81,98,20.8,PF,1733585667
99,narathiwat,6.3333,101.75,76.06,93,100,2.84,TH,1733585668
100,dwarka,22.2394,68.9678,76.06,51,81,8.88,IN,1733585671
101,dudinka,69.4058,86.1778,-0.24,98,100,7.18,RU,1733585672
102,yuzhno-kurilsk,44.0306,145.8556,27.79,67,34,6.78,RU,1733585673
103,sarmanovo,55.2553,52.5891,18.41,83,29,5.01,RU,1733585674
104,coquimbo,-29.9533,-71.3436,66.97,55,20,13.8,CL,1733585494
105,tidjikja,18.5564,-11.4271,79.57,9,56,21.94,MR,1733585676
106,bathsheba,13.2167,-59.5167,86.61,70,75,20.71,BB,1733585677
107,arraial do cabo,-22.9661,-42.0278,94.96,51,0,9.22,BR,1733585679
108,puerto natales,-51.7236,-72.4875,55.85,50,40,21.85,CL,1733585680
109,uturoa,-16.7333,-151.4333,81.1,72,46,19.89,PF,1733585681
110,hithadhoo,-0.6,73.0833,82.18,74,55,12.71,MV,1733585682
111,praia da vitoria,38.7333,-27.0667,68.25,83,20,9.48,PT,1733585683
112,grytviken,-54.2811,-36.5092,32.0,73,100,1.34,GS,1733585684
113,xique xique,-10.8217,-42.7311,90.84,43,27,2.01,BR,1733585611
114,geneina,13.45,22.45,80.53,21,35,4.09,SD,1733585686
115,fisterra,42.9049,-9.2629,56.62,66,53,25.72,ES,1733585687
116,byron bay,-28.65,153.6167,71.67,88,62,13.4,AU,1733585689
117,matoury,4.8483,-52.3317,84.16,70,75,18.41,GF,1733585690
118,puerto ayora,-0.7393,-90.3518,74.55,88,74,7.0,EC,1733585691
119,ouahigouya,13.5828,-2.4216,88.25,10,41,12.46,BF,1733585692
120,daru,-9.0763,143.2092,80.37,89,97,6.96,PG,1733585693
121,vanino,49.0869,140.2543,4.86,70,54,13.42,RU,1733585694
122,elliot,-31.3333,27.85,66.69,71,9,7.7,ZA,1733585695
123,kristiansund,63.1115,7.732,39.85,70,75,3.44,NO,1733585696
124,longyearbyen,78.2186,15.6401,31.84,69,75,19.57,SJ,1733585556
125,wailua homesteads,22.0669,-159.378,68.79,100,20,8.05,US,1733585593
126,bilibino,68.0546,166.4372,-16.38,92,51,4.29,RU,1733585700
127,acapulco de juarez,16.8634,-99.8901,78.62,89,75,3.44,MX,1733585701
128,qamdo,31.1667,97.2333,27.01,51,56,6.76,CN,1733585702
129,sinabang,2.4803,96.3801,80.22,81,89,3.94,ID,1733585703
130,susuman,62.7833,148.1667,-18.92,100,99,0.27,RU,1733585704
131,traben-trarbach,49.95,7.1167,48.33,77,40,16.11,DE,1733585705
132,barcelos,41.5388,-8.6151,55.56,58,0,13.82,PT,1733585587
133,jawf al maqbabah,13.8378,45.8349,74.98,23,0,6.2,YE,1733585708
134,nabire,-3.3667,135.4833,76.75,94,100,2.82,ID,1733585709
135,talnakh,69.4865,88.3972,-1.41,99,100,3.33,RU,1733585710
136,tazovsky,67.4667,78.7,-3.35,98,78,8.46,RU,1733585711
137,tshikapa,-6.4167,20.8,78.01,76,11,3.42,CD,1733585712
138,bubaque,11.2833,-15.8333,81.21,41,98,5.79,GW,1733585713
139,vorgashor,67.5833,63.95,7.27,96,98,9.73,RU,1733585714
140,saudarkrokur,65.7461,-19.6394,17.42,91,98,7.31,IS,1733585715
141,taksimo,56.3444,114.8794,-0.89,95,96,1.1,RU,1733585716
142,enewetak,11.3474,162.3373,82.06,79,100,22.53,MH,1733585718
143,lata,40.1629,-8.3327,55.22,62,37,9.13,PT,1733585719
144,usinsk,65.9939,57.5281,7.34,97,98,10.85,RU,1733585720
145,dompu,-8.5356,118.4622,76.68,95,100,1.97,ID,1733585721
146,devonport,-41.1667,146.35,54.52,86,18,1.01,AU,1733585722
147,bhadrakh,21.0528,86.52,69.21,72,41,1.95,IN,1733585723
148,madimba,-10.4,40.3333,83.52,83,20,9.22,TZ,1733585724
149,bel ombre,-4.6167,55.4167,80.44,78,40,4.61,SC,1733585725
150,kapa'a,22.0752,-159.319,70.12,100,20,8.05,US,1733585726
151,kingston,17.997,-76.7936,83.16,78,100,1.48,JM,1733585446
152,northam,51.0333,-4.2167,47.61,76,100,44.38,GB,1733585729
153,airuk,7.2772,168.8203,81.97,81,98,21.43,MH,1733585730
154,santa ana,33.7456,-117.8678,69.04,30,0,4.0,US,1733585731
155,hawaiian paradise park,19.5933,-154.9731,68.9,77,20,4.61,US,1733585732
156,mugia,43.1041,-9.2179,55.96,68,59,23.15,ES,1733585733
157,iwon-up,40.3231,128.6553,27.1,42,37,8.03,KP,1733585734
158,mandalgovi,45.7625,106.2708,12.4,73,0,8.08,MN,1733585735
159,naliya,23.2667,68.8333,72.5,48,91,7.34,IN,1733585738
160,veraval,20.9,70.3667,73.0,73,15,11.07,IN,1733585739
161,lorengau,-2.0226,147.2712,80.67,83,100,3.62,PG,1733585741
162,saint-pierre,-21.3393,55.4781,82.08,61,100,9.22,RE,1733585607
163,la sarre,48.8002,-79.1996,4.86,92,100,6.15,CA,1733585743
164,ilulissat,69.2167,-51.1,32.02,69,75,26.46,GL,1733585744
165,podgornoye,51.735,39.1496,28.62,86,100,11.18,RU,1733585746
166,murzuq,25.9155,13.9184,58.73,44,0,8.01,LY,1733585747
167,torghay,49.6339,63.4981,20.79,62,5,9.01,KZ,1733585748
168,alappuzha,9.49,76.3264,80.47,80,94,7.72,IN,1733585749
169,llerena,38.2354,-6.0739,58.42,67,83,16.11,ES,1733585750
170,port mathurin,-19.6833,63.4167,76.87,87,56,21.43,MU,1733585751
171,arac,41.2422,33.3277,41.7,84,99,4.56,TR,1733585752
172,puerto armuelles,8.2833,-82.8667,79.09,71,11,1.01,PA,1733585753
173,puerto rico,-26.796,-55.024,72.45,98,100,3.83,AR,1733585543
174,inirida,3.8653,-67.9239,94.48,42,5,2.37,CO,1733585756
175,punta arenas,-53.15,-70.9167,55.51,47,40,20.71,CL,1733585757
176,remire-montjoly,4.9167,-52.2667,84.24,70,75,18.41,GF,1733585758
177,princeville,45.7668,-61.2985,23.63,66,0,19.57,CA,1733585759
178,aasiaat,68.7098,-52.8699,21.9,70,96,13.65,GL,1733585760
179,weno,7.4515,151.8468,83.25,81,99,25.28,FM,1733585761
180,kerikeri,-35.2268,173.9474,59.92,87,100,0.65,NZ,1733585762
181,ghat,24.9647,10.1728,57.76,27,1,6.78,LY,1733585763
182,east porterville,36.0574,-118.9757,37.22,93,0,5.75,US,1733585764
183,oranjemund,-28.55,16.4333,68.04,72,10,20.02,NA,1733585766
184,broken hill,-31.95,141.4333,69.15,45,31,21.23,AU,1733585544
185,jamestown,42.097,-79.2353,26.02,82,100,10.36,US,1733585489
186,fort mcmurray,56.7268,-111.381,31.59,80,100,9.22,CA,1733585770
187,greymouth,-42.4667,171.2,54.75,85,100,3.31,NZ,1733585771
188,kodiak,57.79,-152.4072,35.11,93,20,4.61,US,1733585772
189,namsos,64.4662,11.4957,31.91,86,100,8.05,NO,1733585775
190,gao,16.6362,1.637,80.96,9,0,15.08,ML,1733585776
191,jumla,29.2747,82.1838,30.38,37,0,8.14,NP,1733585777
192,yeppoon,-23.1333,150.7333,75.45,80,7,6.85,AU,1733585778
193,edson,53.5835,-116.4356,32.14,93,75,2.3,CA,1733585779
194,nuuk,64.1835,-51.7216,41.61,38,75,10.36,GL,1733585609
195,naze,28.3667,129.4833,54.52,80,100,21.83,JP,1733585781
196,namibe,-15.1961,12.1522,74.5,68,36,12.44,AO,1733585782
197,chiredzi,-21.05,31.6667,100.38,28,0,5.75,ZW,1733585784
198,saham,24.1722,56.8886,74.3,39,4,6.46,OM,1733585785
199,forio,40.7342,13.8646,53.42,77,13,1.99,IT,1733585786
200,new glasgow,45.5834,-62.6486,22.78,47,33,14.32,CA,1733585766
201,daska kalan,32.3243,74.3497,58.98,21,1,4.45,PK,1733585788
202,geraldton,-28.7667,114.6,70.21,78,0,14.97,AU,1733585582
203,navia,43.5354,-6.7194,50.59,87,100,12.17,ES,1733585790
204,letlhakane,-21.4167,25.5833,98.37,15,89,15.57,BW,1733585791
205,west bay,19.3667,-81.4167,82.47,61,40,17.27,KY,1733585792
206,manturovo,58.3353,44.7619,19.26,81,99,7.72,RU,1733585794
207,lichuan,30.3,108.85,33.4,98,100,4.34,CN,1733585795
208,ust-nera,64.5667,143.2,-17.36,98,70,2.35,RU,1733585796
209,katsuren-haebaru,26.3369,127.8719,66.58,89,100,10.36,JP,1733585797
210,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,69,100,22.37,RU,1733585798
211,mount pearl,47.5166,-52.7813,36.14,78,75,13.8,CA,1733585799
212,college,64.8569,-147.8028,14.45,84,75,3.44,US,1733585800
213,villamontes,-21.25,-63.5,81.01,64,93,7.54,BO,1733585801
214,sumbe,-11.2061,13.8437,80.11,81,53,7.27,AO,1733585802
215,mangrol,21.1167,70.1167,74.35,69,8,10.96,IN,1733585804
216,barra de santo antonio,-9.4047,-35.5072,81.27,72,24,13.15,BR,1733585805
217,el granada,37.5027,-122.4694,52.79,85,20,0.0,US,1733585806
218,huasahuasi,-11.3167,-75.6167,51.8,72,100,8.77,PE,1733585807
219,la ronge,55.1001,-105.2842,37.65,93,100,12.66,CA,1733585808
220,howard springs,-12.497,131.047,77.83,99,100,3.09,AU,1733585809
221,dhidhdhoo,6.8833,73.1,82.13,61,92,2.01,MV,1733585810
222,severo-yeniseyskiy,60.3725,93.0408,1.47,99,99,3.78,RU,1733585811
223,arteche,12.2645,125.4048,79.43,92,100,5.82,PH,1733585812
224,dubovka,49.0583,44.829,26.47,62,56,15.68,RU,1733585815
225,san fernando de apure,7.8878,-67.4724,92.12,40,43,9.24,VE,1733585817
226,brookings,44.3114,-96.7984,38.05,69,0,9.22,US,1733585818
227,sandnessjoen,66.0217,12.6316,37.44,72,100,13.56,NO,1733585819
228,nikolayevsk-on-amure,53.1406,140.73,17.26,94,100,10.45,RU,1733585821
229,inarajan village,13.2736,144.7484,81.57,85,97,20.2,GU,1733585823
230,kangaba,11.9333,-8.4167,89.1,12,100,6.62,ML,1733585824
231,keelung,25.1283,121.7419,64.94,88,100,19.13,TW,1733585825
232,antsiranana,-12.2787,49.2917,83.16,65,40,11.5,MG,1733585826
233,cole harbour,44.6724,-63.4751,25.97,67,98,13.8,CA,1733585827
234,champerico,14.3,-91.9167,82.06,62,16,1.95,GT,1733585828
235,ciudad lazaro cardenas,17.9583,-102.2,81.79,66,99,0.89,MX,1733585829
236,san luis,-33.295,-66.3356,67.96,33,1,18.59,AR,1733585830
237,driefontein,-27.0177,30.4498,72.3,56,80,11.18,ZA,1733585831
238,tsivil'sk,55.8611,47.4664,18.61,91,96,7.11,RU,1733585832
239,chalus,36.655,51.4204,54.86,88,75,2.3,IR,1733585834
240,haiku-pauwela,20.9219,-156.3051,70.88,81,29,4.0,US,1733585836
241,happy valley-goose bay,53.3168,-60.3315,14.31,85,100,16.11,CA,1733585837
242,antofagasta,-23.65,-70.4,65.48,72,67,8.48,CL,1733585765
243,al bawiti,28.3492,28.8659,65.25,34,100,6.82,EG,1733585839
244,touros,-5.1989,-35.4608,85.69,58,87,14.94,BR,1733585648
245,vila velha,-20.3297,-40.2925,89.55,62,0,18.41,BR,1733585842
246,constantia,44.1833,28.65,52.7,88,100,14.85,RO,1733585599
247,dryden,49.7833,-92.7503,30.49,93,100,11.5,CA,1733585554
248,pachino,36.7186,15.0907,60.04,66,58,2.57,IT,1733585845
249,es castell,39.8795,4.2854,65.08,77,40,10.36,ES,1733585846
250,nizhneangarsk,55.7833,109.55,16.74,89,99,5.37,RU,1733585848
251,tura,25.5198,90.2201,59.76,86,1,3.76,IN,1733585849
252,alotau,-10.3069,150.4462,77.34,92,96,2.04,PG,1733585851
253,kudahuvadhoo,2.6708,72.8944,82.54,69,3,7.56,MV,1733585852
254,igarka,67.4667,86.5833,-5.6,99,100,5.53,RU,1733585853
255,akita,39.7167,140.1167,38.73,79,100,22.32,JP,1733585854
256,dalmatovo,56.26,62.9362,15.71,89,57,7.25,RU,1733585855
257,dalandzadgad,43.5708,104.425,16.12,65,0,6.51,MN,1733585856
258,rabo de peixe,37.8,-25.5833,67.51,99,20,8.05,PT,1733585857
259,ust-tsilma,65.441,52.1498,11.12,96,95,4.34,RU,1733585858
260,gaspe,48.8334,-64.4819,19.62,63,20,16.11,CA,1733585647
261,patti,31.2808,74.8572,55.99,20,0,5.19,IN,1733585861
262,howrah,22.5892,88.3103,69.8,64,10,0.0,IN,1733585862
263,pawcatuck,41.3773,-71.8337,36.0,58,0,8.05,US,1733585863
264,dumbraveni,46.2333,24.5667,38.28,100,100,0.6,RO,1733585864
265,dungannon,54.5034,-6.7672,41.27,62,30,25.88,GB,1733585865
266,hadibu,12.65,54.0333,78.03,70,95,14.67,YE,1733585866
267,carnarvon,-24.8667,113.6333,72.07,80,52,21.03,AU,1733585867
268,timbiqui,2.7717,-77.6654,80.62,76,99,4.23,CO,1733585868
269,lihue,21.9789,-159.3672,69.39,100,20,8.05,US,1733585870
270,cluses,46.0625,6.575,41.88,100,100,2.3,FR,1733585871
271,kapuskasing,49.4169,-82.4331,6.89,85,100,11.5,CA,1733585582
272,lerwick,60.1545,-1.1494,43.47,71,100,30.04,GB,1733585873
273,priozersk,61.0393,30.1291,28.09,86,98,5.93,RU,1733585874
274,nar'yan-mar,67.6713,53.087,12.51,96,81,9.89,RU,1733585875
275,mount isa,-20.7333,139.5,78.57,89,0,0.0,AU,1733585877
276,ardakan,32.31,54.0175,50.79,25,16,5.73,IR,1733585879
277,qarauyl,48.9451,79.255,24.33,91,100,5.77,KZ,1733585880
278,ta`u,-14.2336,-169.5144,81.93,81,78,14.83,AS,1733585881
279,tralee,52.2704,-9.7026,48.45,66,75,16.11,IE,1733585882
280,ikwiriri,-7.9562,38.9716,77.45,86,40,6.17,TZ,1733585883
281,diebougou,10.9667,-3.25,91.22,10,100,4.32,BF,1733585884
282,vadso,70.0744,29.7487,33.96,80,75,27.63,NO,1733585885
283,tamanrasset,22.785,5.5228,67.91,13,0,3.44,DZ,1733585886
284,buala,-8.145,159.5921,81.48,80,86,9.35,SB,1733585887
